Year,Pods,Area,Sun JJ,Rain JJ,Temp JJ,No E-attacked pods
1977,5826,447.5,480,149,14.75,
1978,2190,,543,70,15.65,
1979,27312,,491,181,16.15,
1980,611,,584,141,17.2,
1981,29519,,404,129,15.45,6303
1982,660,,574,92,15.85,625
1983,1004,,569,67,16.95,521
1984,10733,,374,189,15.2,4673
1985,6845,,422,134,15.75,6192
1986,37105,,561,94,16.65,36739
1987,8710,,398,107,14.4,8272
1988,36069,,475,193,17.1,31924
1989,9263,,585,100,17.25,8730
1990,11680,467.5,479,95,15.8,6612
1991,26353,458.25,480,112,15.5,20452
1992,236,408,613,100,18.05,231
1993,10705,457.5,436,119,15,1082
1994,20265,471.5,699,80,17.9,5413
1995,58130,529.5,569,111,17.05,46914
1996,2413,703.25,452,109,15.65,2381
1997,45724,773.25,618,120,17.9,9705
1998,19020,,370,105,15,17959
1999,3255,782.5,655,80,18.7,3161
2000,52165,904.75,421,159,15.45,20272
2001,10868,845.75,596,80,17.7,6857
2002,40660,1059.8,564,276,18.35,38602
2003,25666,968,534,146,18.35,24287
2004,22806,994.75,474,171,15.85,21385
2005,242054,1290.25,538,155,17.25,189014
2006,52,1392,698,57,18.9,43
2007,170623,1523,530,107,16.8,1417
2008,2803,1102.25,636,62.3,17.65,2574
2009,154284,1248,484,164.9,15.9,22466
2010,354,,628,139,18.45,246
2011,82687,1149.5,558,89,18.35,15858
2012,18633,1183,455,186,15.7,17715
2013,143323,,557,102,17.45,141597
2014,17,1491.5,545,70,17.5,6
2015,196760,1506.25,459,208,15.75,160
2016,4551,1501,,87,,4456
